municipality_id,microrregion_id
1506500,15008
1501907,15008
1507003,15008
1503408,15008
1502400,15008
1508209,15009
1502608,15009
1507102,15009
1507466,15009
1502905,15009
1504109,15009
1504307,15009
1507961,15009
1504406,15009
1507474,15009
1506203,15009
1506609,15010
1503200,15010
1507409,15010
1500909,15010
1508035,15010
1501709,15010
1506104,15010
1506112,15010
1505007,15010
1506906,15010
1502202,15010
1505601,15010
1501600,15010
1504000,15011
1505205,15011
1504604,15011
1502103,15011
1500107,15011
1503309,15011
1501204,15011
1502756,15012
1500206,15012
1508001,15012
1507953,15012
1504703,15012
1507607,15013
1503507,15013
1507201,15013
1508308,15013
1501956,15013
1506559,15013
1503457,15013
1500958,15013
1504059,15013
1504950,15013
1503077,15013
1505403,15013
1502301,15013
1501006,15014
1506195,15014
1503606,15014
1505031,15014
1508050,15014
1503754,15014
1505486,15015
1500859,15015
1501725,15015
1500602,15015
1508357,15015
1508159,15015
1507805,15015
1504455,15015
1503804,15016
1503705,15016
1504976,15016
1501782,15016
1508100,15016
1505064,15016
1508126,15017
1505502,15017
1502939,15017
1500131,15017
1506187,15017
1501576,15017
1503093,15017
1502764,15018
1501253,15018
1508084,15018
1507300,15018
1505437,15018
1502954,15019
1502772,15019
1502152,15019
1505536,15019
1500347,15019
1507508,15020
1501758,15020
1505494,15020
1504208,15020
1507151,15020
1507458,15021
1505635,15021
1506138,15021
1505551,15021
1508407,15021
1506161,15021
1507755,15021
1502707,15022
1506708,15022
1503044,15022
1506583,15022
1600501,16001
1600204,16001
1600105,16002
1600709,16002
1600550,16002
1600600,16003
1600303,16003
1600253,16003
1600212,16003
1600535,16003
1600055,16003
1600238,16003
1600154,16003
1600402,16004
1600279,16004
1600808,16004
1718550,17001
1706506,17001
1701002,17001
1701051,17001
1721208,17001
1712454,17001
1714302,17001
1703826,17001
1712801,17001
1713809,17001
1720002,17001
1700301,17001
1720200,17001
1718303,17001
1720101,17001
1710706,17001
1703800,17001
1707405,17001
1718808,17001
1720309,17001
1702208,17001
1702554,17001
1703891,17001
1720804,17001
1702901,17001
1722081,17002
1703883,17002
1701309,17002
1714880,17002
1702158,17002
1717206,17002
1722107,17002
1716307,17002
1713957,17002
1718865,17002
1702307,17002
1707702,17002
1702109,17002
1703008,17002
1705508,17002
1703057,17002
1715705,17002
1701903,17003
1707108,17003
1703107,17003
1713700,17003
1700251,17003
1703909,17003
1712504,17003
1707207,17003
1718709,17003
1713304,17003
1713205,17003
1721257,17003
1718402,17003
1716653,17003
1706001,17003
1711100,17003
1708254,17003
1708304,17003
1716703,17003
1709302,17003
1703602,17003
1721307,17003
1703206,17003
1711803,17003
1707553,17004
1715507,17004
1706100,17004
1716109,17004
1704600,17004
1717503,17004
1711902,17004
1715002,17004
1718451,17004
1707306,17004
1708205,17004
1702000,17004
1718840,17004
1718899,17005
1703701,17005
1720259,17005
1700350,17005
1706258,17005
1707652,17005
1716604,17005
1703867,17005
1720978,17005
1720853,17005
1715754,17005
1709500,17005
1711506,17005
1700707,17005
1721000,17006
1712009,17006
1701101,17006
1718204,17006
1720655,17006
1709807,17006
1713601,17006
1721109,17006
1716505,17006
1703305,17006
1718881,17006
1712405,17007
1720150,17007
1712702,17007
1719004,17007
1718758,17007
1715101,17007
1711951,17007
1717909,17007
1703073,17007
1703842,17007
1709005,17007
1704105,17007
1718501,17007
1710904,17007
1710508,17007
1717008,17008
1718907,17008
1705102,17008
1714203,17008
1716208,17008
1720499,17008
1717800,17008
1705557,17008
1700400,17008
1718006,17008
1720937,17008
1715150,17008
1712157,17008
1702703,17008
1707009,17008
1720903,17008
1715259,17008
1718659,17008
1705607,17008
1702406,17008
2100204,21001
2101350,21001
2101905,21001
2102408,21001
2104909,21001
2111789,21001
2103109,21001
2103125,21001
2100832,21001
2101301,21001
2103703,21001
2109056,21001
2106805,21001
2109452,21002
2107506,21002
2111300,21002
2111201,21002
2105104,21003
2109601,21003
2101251,21003
2110203,21003
2107100,21003
2102374,21003
2101103,21003
2109205,21003
2110278,21004
2101707,21004
2109403,21004
2105005,21004
2108058,21004
2112506,21004
2108603,21005
2107605,21005
2110500,21005
2108256,21005
2109270,21005
2109809,21005
2108405,21005
2100709,21005
2108306,21005
2112902,21005
2106508,21005
2111706,21005
2112803,21005
2111003,21005
2107456,21005
2102507,21005
2101004,21005
2101772,21005
2105153,21005
2106904,21005
2103554,21005
2107209,21006
2106631,21006
2108801,21006
2105401,21006
2112704,21006
2109304,21006
2102705,21006
2106755,21006
2112407,21007
2112456,21007
2104305,21007
2101970,21007
2106201,21007
2100550,21007
2105658,21007
2103174,21007
2103158,21007
2106326,21007
2106375,21007
2102606,21007
2102903,21007
2104677,21007
2102002,21008
2108504,21008
2110005,21008
2107357,21008
2111029,21008
2114007,21008
2109908,21008
2100477,21008
2104651,21008
2100873,21008
2112274,21008
2100402,21008
2106359,21008
2105708,21008
2102150,21008
2105963,21008
2108108,21008
2113009,21008
2110039,21008
2109239,21008
2102325,21008
2102036,21008
2100600,21009
2105989,21009
2102358,21009
2104552,21009
2111763,21009
2103752,21009
2103257,21009
2107001,21009
2112852,21009
2109551,21009
2105302,21009
2105500,21009
2111532,21009
2100055,21009
2105427,21009
2110856,21009
2108702,21010
2111409,21010
2105906,21010
2101202,21010
2111508,21010
2111722,21010
2107407,21010
2102077,21010
2110302,21010
2111631,21010
2101939,21010
2105807,21010
2105948,21010
2106003,21010
2112233,21010
2108900,21010
2104008,21010
2105203,21010
2111672,21010
2108207,21010
2105609,21011
2109759,21011
2112308,21011
2100956,21011
2104099,21011
2104800,21011
2111805,21011
2105476,21011
2105351,21011
2101608,21011
2104081,21011
2111250,21012
2104206,21012
2104701,21012
2104602,21012
2110708,21012
2111748,21012
2109106,21012
2104628,21012
2104404,21012
2104503,21012
2103802,21012
2110104,21013
2100907,21013
2110237,21013
2100154,21013
2110609,21013
2106300,21013
2102200,21014
2102101,21014
2106409,21014
2110401,21014
2112605,21014
2101731,21014
2100808,21014
2106672,21014
2103208,21014
2100436,21015
2102754,21015
2103307,21015
2112100,21015
2103604,21015
2108454,21015
2100105,21016
2103901,21016
2103406,21016
2100303,21016
2103000,21017
2111078,21017
2106607,21017
2107803,21017
2112209,21017
2102309,21017
2107704,21018
2110906,21018
2108009,21018
2101509,21018
2105922,21018
2107308,21018
2107902,21018
2111102,21018
2111953,21018
2103505,21018
2105450,21018
2111904,21018
2106706,21018
2102556,21019
2104057,21019
2111052,21019
2109007,21019
2111573,21019
2102804,21019
2112001,21020
2101400,21020
2104073,21020
2109502,21020
2100501,21020
2101806,21021
2110658,21021
2106102,21021
2110807,21021
2111607,21021
2109700,21021
2104107,21021
2107258,21021
2206209,22001
2208502,22001
2202174,22001
2201770,22001
2201200,22001
2202059,22001
2206803,22001
2201960,22001
2208403,22001
2205854,22001
2205458,22001
2201507,22001
2205409,22001
2206100,22001
2203701,22001
2206670,22001
2205805,22001
2209971,22001
2202703,22002
2201919,22002
2202653,22002
2202539,22002
2202083,22002
2202000,22002
2206696,22002
2202729,22002
2205706,22002
2207702,22002
2204659,22002
2208304,22002
2209872,22002
2210052,22002
2203255,22003
2205581,22003
2211100,22003
2205508,22003
2206720,22003
2205557,22003
2206407,22003
2211001,22003
2201606,22003
2202737,22003
2203305,22003
2200400,22003
2207793,22003
2206308,22003
2200301,22004
2206951,22004
2202711,22004
2209906,22004
2210409,22004
2202208,22004
2202026,22004
2201051,22004
2205516,22004
2201945,22004
2202604,22004
2210656,22004
2206753,22004
2205276,22004
2207900,22004
2203420,22004
2202406,22004
2206357,22004
2205573,22004
2208809,22005
2205540,22005
2200202,22005
2204600,22005
2207751,22005
2200103,22005
2205250,22005
2207108,22005
2210508,22005
2209807,22005
2200608,22005
2209450,22005
2200509,22005
2201408,22005
2207504,22005
2201002,22005
2204105,22005
2211407,22006
2203503,22006
2210383,22006
2209609,22006
2208601,22006
2204006,22006
2209153,22006
2208106,22006
2206902,22006
2200905,22006
2201176,22006
2205599,22006
2204709,22006
2211308,22006
2209203,22007
2201150,22007
2211209,22007
2208908,22007
2202752,22008
2206001,22008
2205607,22008
2208551,22008
2200806,22008
2201705,22008
2205904,22008
2210631,22008
2203602,22008
2210391,22009
2202251,22009
2203909,22009
2204501,22009
2209708,22009
2210102,22009
2205102,22009
2205300,22009
2206704,22009
2203800,22009
2209005,22009
2207850,22009
2204402,22010
2209757,22010
2201309,22010
2206605,22010
2207405,22010
2209302,22010
2201903,22010
2203107,22010
2208700,22010
2200459,22010
2203230,22010
2201929,22011
2203750,22011
2200707,22011
2204550,22011
2202851,22011
2209559,22011
2211357,22011
2203354,22011
2203453,22011
2210607,22011
2210359,22011
2202505,22011
2205532,22011
2201988,22011
2207355,22011
2202307,22011
2210953,22011
2206654,22012
2201101,22012
2203206,22012
2210623,22012
2208858,22012
2207603,22012
2205524,22012
2203008,22012
2202901,22012
2204808,22013
2210201,22013
2203404,22013
2204352,22013
2208007,22013
2209104,22013
2211704,22013
2207553,22013
2200954,22013
2201804,22013
2210938,22013
2209856,22013
2209351,22013
2210375,22013
2209377,22013
2209955,22013
2207009,22013
2210979,22013
2202778,22013
2202075,22013
2209401,22014
2208205,22014
2206506,22014
2200251,22014
2200277,22014
2210300,22014
2204204,22014
2204907,22015
2204303,22015
2211506,22015
2205003,22015
2202091,22015
2202133,22015
2205201,22015
2207207,22015
2204154,22015
2211605,22015
2205953,22015
2201572,22015
2206050,22015
2205151,22015
2200053,22015
2202554,22015
2208650,22015
2210706,22015
2207801,22015
2203271,22015
2207777,22015
2201739,22015
2203859,22015
2209500,22015
2201556,22015
2202802,22015
2202109,22015
2209658,22015
2207306,22015
2210805,22015
2210904,22015
2202117,22015
2202455,22015
2205565,22015
2210003,22015
2207959,22015
2205359,22015
2207934,22015
2208874,22015
2307908,23001
2308906,23001
2304251,23001
2306553,23001
2302305,23001
2300200,23001
2307809,23001
2307254,23001
2302602,23001
2303907,23001
2304707,23001
2302057,23001
2313401,23002
2313609,23002
2304236,23002
2305001,23002
2312304,23002
2305308,23002
2303402,23002
2314102,23002
2304509,23003
2308807,23003
2313906,23003
2304004,23003
2308203,23004
2300507,23004
2308377,23005
2306108,23005
2304350,23005
2309003,23005
2304905,23005
2309904,23005
2312007,23005
2312908,23005
2303105,23005
2312809,23005
2304657,23005
2308005,23005
2311009,23006
2311702,23006
2313955,23006
2305902,23006
2310951,23006
2305803,23006
2312205,23007
2305209,23007
2303659,23007
2306405,23008
2300754,23008
2313500,23008
2312403,23009
2310209,23009
2310258,23009
2313757,23010
2313559,23010
2313807,23010
2306306,23010
2312601,23011
2313351,23011
2310704,23011
2304608,23011
2300903,23011
2302800,23012
2310407,23012
2303006,23012
2306603,23012
2310100,23013
2309805,23013
2302107,23013
2301208,23013
2305100,23013
2300150,23013
2309102,23013
2301406,23013
2302909,23013
2306504,23013
2311603,23013
2303956,23014
2301950,23014
2309458,23014
2310852,23015
2303501,23015
2302206,23015
2304285,23016
2301000,23016
2307700,23016
2303709,23016
2306256,23016
2309706,23016
2304400,23016
2307650,23016
2304954,23016
2305233,23017
2309607,23017
2301257,23018
2304103,23018
2313203,23018
2311264,23018
2309300,23018
2309409,23018
2305605,23018
2308609,23018
2305654,23018
2307635,23019
2302404,23019
2305266,23019
2303931,23019
2301851,23019
2311306,23019
2311405,23019
2303600,23020
2311900,23020
2300408,23020
2301505,23020
2310308,23020
2313302,23020
2313005,23021
2304269,23021
2308351,23021
2312700,23021
2310506,23021
2308500,23021
2310902,23021
2300309,23021
2306207,23022
2305357,23022
2301109,23022
2304459,23022
2305332,23023
2307601,23023
2308708,23023
2310001,23023
2313104,23023
2311504,23023
2312502,23023
2300705,23023
2311801,23023
2307007,23023
2306801,23024
2306900,23024
2306702,23024
2310803,23025
2306009,23025
2311231,23025
2304277,23025
2305506,23026
2303808,23026
2311355,23026
2305407,23026
2309508,23026
2307403,23027
2303303,23027
2314003,23027
2313252,23027
2300804,23027
2305704,23028
2313708,23028
2301802,23028
2307502,23028
2311207,23029
2302701,23029
2301307,23029
2301604,23029
2311959,23029
2304301,23030
2303204,23030
2300606,23030
2304806,23030
2301703,23031
2308104,23031
2302008,23031
2309201,23032
2312106,23032
2308401,23032
2307304,23032
2301901,23032
2304202,23032
2307106,23032
2311108,23032
2302503,23033
2307205,23033
2310605,23033
2308302,23033
2300101,23033
2401453,24001
2411056,24001
2413359,24001
2408003,24001
2404408,24001
2401107,24001
2404309,24002
2402303,24002
2403707,24002
2401008,24002
2405207,24003
2401305,24003
2407609,24003
2414605,24003
2414456,24003
2408706,24003
2406106,24004
2409902,24004
2410256,24004
2412807,24004
2400703,24004
2404853,24004
2402501,24004
2404705,24004
2400208,24004
2403301,24005
2407252,24005
2400406,24005
2407005,24005
2410801,24005
2412500,24005
2414753,24005
2403202,24005
2402907,24005
2404903,24006
2411007,24006
2413607,24006
2410207,24006
2410702,24006
2403905,24006
2414100,24006
2410504,24006
2406007,24006
2408607,24006
2411908,24006
2409407,24006
2407302,24006
2410009,24006
2414902,24006
2400505,24006
2413805,24006
2405900,24007
2400604,24007
2408409,24007
2410603,24007
2409308,24007
2414506,24007
2400901,24007
2406908,24007
2404002,24007
2407401,24007
2413557,24007
2404101,24008
2411601,24008
2401859,24008
2407203,24008
2404507,24008
2409704,24009
2405504,24009
2409605,24009
2401909,24009
2400802,24009
2403756,24009
2406700,24009
2400307,24009
2403806,24010
2406502,24010
2401651,24010
2413003,24010
2414159,24010
2402709,24010
2411403,24010
2405603,24011
2404804,24011
2402006,24011
2411809,24011
2413409,24011
2414308,24011
2412104,24011
2405702,24012
2408508,24012
2403400,24012
2403004,24012
2408904,24012
2412401,24012
2411429,24012
2400109,24012
2402402,24012
2403103,24012
2401602,24013
2410108,24013
2405801,24013
2405108,24013
2408805,24013
2413300,24014
2412302,24014
2407906,24014
2411205,24014
2406809,24014
2413706,24014
2402808,24014
2405009,24014
2414001,24014
2402105,24014
